Horz. hyoid pos.,Vert. hyoid pos.,Jaw angle (deg.),Lip protrusion,Lip distance,Tongue body X,Tongue body Y,Tongue tip X,Tongue tip Y,Tongue blade X,Tongue blade Y,,,,,,,,,,,,,
,Horz. jaw pos.,Velum shape,Velic opening,Wall compliance,Tongue side elevation 1,Tongue side elevation 2,Tongue side elevation 3,Tongue side elevation 4,Min. area (tongue body),Min. area (tongue tip),Min. area (teeth-lips),Maxilla width,Maxilla length,Maxilla curvature,Mandible width,Mandible length,Mandible curvature,Maxilla angle,Palate fronting,Palatal concavity,Palate angle,Alveo-palatal weight,SVTv length
A38,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0,0,0.119,-7.95
A39,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.414,0,0,0.893,-7.95
A40,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.006,0.158,0.029,0.134,-7.95
A41,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.24,1,0.44,0.999,-7.95
A42,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.371,0.691,0.217,0.787,-7.95
A43,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.336,0.038,0,0.863,-7.95
A44,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.041,1,0.002,0.644,-7.95
A45,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.356,1,0.036,0.998,-7.95
A46,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.31,0,0,0.866,-7.95
A47,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.328,0.263,0.367,0.448,-7.95
A48,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.239,0.212,0.062,0.706,-7.95
A49,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.364,0.453,0.011,0.591,-7.95
A50,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0,0.735,0.456,-7.95
A51,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.392,0.122,0,1,-7.95
A52,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.32,0.293,0,0.757,-7.95
A53,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0.05,0.24,0.121,-7.95
A54,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0,0,0,0.092,-7.95
A55,0,0.5,-0.1,0,0,0,0,0,-0.05,-0.05,-0.05,2.3,4.7,3.5,2.3,4.9,3.5,3,0.091,0,0.032,0.299,-7.95
