ID	tracing	x	y
A01	1	0.767676789306367	0
A01	1	0.724811637873625	0.015587600326681
A01	1	0.681946486440882	0.03507156540244
A01	1	0.62739052769661	0.070143130804879
A01	1	0.580628583248715	0.124698661283077
A01	1	0.526073052770518	0.194841792087956
A01	1	0.483207901337775	0.249397750832228
A01	1	0.424755149578351	0.284468887968593
A01	1	0.319540453371032	0.303953281310426
A01	1	0.206532599399485	0.307850074325577
A01	1	0.124698661283077	0.311746867340729
A01	1	0.03507156540244	0.307850074325577
A01	1	0	0.307850074325577
A01	2	0.759883203276064	0
A01	2	0.720914844858473	0.015587600326681
A01	2	0.658565300083897	0.050659165729121
A01	2	0.619596941666306	0.08573073113156
A01	2	0.557247396891731	0.148079847640061
A01	2	0.518279038474139	0.190944999072804
A01	2	0.4832074730717	0.229913357490395
A01	2	0.424755149578351	0.272778508923138
A01	2	0.354612018773472	0.296159695280122
A01	2	0.268881715907986	0.307850074325577
A01	2	0.163667019700668	0.311746867340729
A01	2	0.081833509850334	0.311746867340729
A01	2	0	0.311746867340729
A01	3	0.752089188979686	0
A01	3	0.681946486440882	0.019484393341833
A01	3	0.600112548324473	0.089627095880637
A01	3	0.533866638800821	0.151976640655213
A01	3	0.45982671498079	0.222119771460092
A01	3	0.401373963221366	0.272778508923138
A01	3	0.32733446766741	0.303953281310426
A01	3	0.222119771460092	0.31564366035588
A01	3	0.116905075252773	0.319540453371032
A01	3	0	0.319540453371032
A03	1	0.725766242954488	0
A03	1	0.683748201817818	0.011459543631106
A03	1	0.641730160681149	0.038198336014993
A03	1	0.584432870791697	0.080216377151662
A03	1	0.542414829655027	0.133693961919437
A03	1	0.496577083396681	0.18335141329946
A03	1	0.424000116488372	0.217730044192776
A03	1	0.313225670097221	0.233009292945558
A03	1	0.233009292945558	0.236828998067235
A03	1	0.148973210672219	0.229189587823882
A03	1	0	0.194810956930566
A03	2	0.695207317182848	0
A03	2	0.641729732415074	0.019098953874459
A03	2	0.599711691278404	0.049657451380023
A03	2	0.546234106510629	0.106954741269475
A03	2	0.511855903883388	0.148972782406144
A03	2	0.469837862746719	0.190990823542814
A03	2	0.412540572857267	0.217729615926701
A03	2	0.332324195705605	0.233008864679483
A03	2	0.263567362185048	0.233008864679483
A03	2	0.175711574790032	0.233008864679483
A03	2	0.114594579778903	0.221549321048378
A03	2	0	0.190990823542814
A03	3	0.714306699323382	0
A03	3	0.637910027293397	0.019098953874459
A03	3	0.588252575913374	0.0534771565017
A03	3	0.553873945020058	0.106954741269475
A03	3	0.500396788518358	0.164252031158926
A03	3	0.45073890887226	0.198630662052242
A03	3	0.381982075351703	0.221549321048378
A03	3	0.271207200694476	0.23682856980116
A03	3	0.156612620915573	0.22536945443613
A03	3	0	0.190990823542814
A04	1	0.593096265220041	0.010654403410368
A04	1	0.546927041019753	0
A04	1	0.493655023967911	0.007102792851554
A04	1	0.426176992946886	0.042617613641474
